data,d,T,noise,prior_acc,seed,variant,variant_name,tau,time,w0_auroc,w0_auprc,w0_f1,w0_shd_norm,comb_auroc,comb_auprc,comb_f1,comb_shd_norm,experiment,auroc,auprc,f1_opt,shd_norm,f1_topk,target,top_m,n_features,rmse,mae
synthetic,20.0,500.0,gaussian,0.9,3,C,FullModel,1.7909687757492065,36.575830936431885,0.9873967840069535,0.9641123905609239,0.9615384615379245,0.005263157894736842,0.9358333333333334,0.9165513713600897,0.9217391304342674,0.02368421052631579,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,3,F,HardMask,,29.499390125274658,1.0,0.9999999999999998,0.9999999999994615,0.0,0.99546875,0.9813245731288286,0.9322033898299928,0.021052631578947368,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,3,A,NoPrior,1.0,36.054404497146606,0.8177966101694915,0.45976603794453674,0.6222222222217066,0.04473684210526316,0.80625,0.5524855154011927,0.6290322580640065,0.12105263157894737,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,4,C,FullModel,1.7075316905975342,36.84898853302002,1.0,0.9999999999999999,0.9999999999994567,0.0,0.9684542586750788,0.9325418180236039,0.8869565217386195,0.034210526315789476,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,4,F,HardMask,,29.655252695083618,0.9469004993301668,0.9102816114009029,0.9130434782603299,0.010526315789473684,0.9483501076561012,0.8930609568193522,0.87096774193497,0.042105263157894736,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,4,A,NoPrior,1.0,36.22031307220459,0.9107295091949823,0.6610278366899477,0.8085106382973382,0.02368421052631579,0.911221270842722,0.6941224322642524,0.6999999999994949,0.11052631578947368,synthetic,,,,,,,,,,
lorenz96,10.0,2000.0,lorenz,0.3,0,C,FullModel,0.5560513734817505,1.0172700881958008,,,,,,,,,lorenz96,1.0,0.9999999999999999,0.9999999999994666,0.0,0.9999999999994666,,,,,
lorenz96,10.0,2000.0,lorenz,0.3,0,F,HardMask,,27.847691297531128,,,,,,,,,lorenz96,0.3933333333333333,0.3412551518924068,0.49999999999961664,0.6666666666666666,0.3333333333328223,,,,,
lorenz96,10.0,2000.0,lorenz,0.3,0,A,NoPrior,1.0,0.9992811679840088,,,,,,,,,lorenz96,0.9961111111111112,0.992953431372549,0.9655172413787777,0.022222222222222223,0.9333333333328022,,,,,
lorenz96,10.0,2000.0,lorenz,0.6,0,C,FullModel,0.14861661195755005,1.0130829811096191,,,,,,,,,lorenz96,1.0,0.9999999999999999,0.9999999999994666,0.0,0.9999999999994666,,,,,
lorenz96,10.0,2000.0,lorenz,0.6,0,F,HardMask,,26.217605113983154,,,,,,,,,lorenz96,0.7305555555555554,0.6668842090416326,0.7169811320749533,0.16666666666666666,0.6333333333328122,,,,,
lorenz96,10.0,2000.0,lorenz,0.6,0,A,NoPrior,1.0,1.0005452632904053,,,,,,,,,lorenz96,0.9961111111111112,0.992953431372549,0.9655172413787777,0.022222222222222223,0.9333333333328022,,,,,
lorenz96,10.0,2000.0,lorenz,0.9,0,C,FullModel,0.7644901871681213,1.0163688659667969,,,,,,,,,lorenz96,1.0,0.9999999999999999,0.9999999999994666,0.0,0.9999999999994666,,,,,
lorenz96,10.0,2000.0,lorenz,0.9,0,F,HardMask,,23.871668577194214,,,,,,,,,lorenz96,0.9772222222222222,0.9661234969058557,0.9666666666661344,0.022222222222222223,0.9666666666661344,,,,,
lorenz96,10.0,2000.0,lorenz,0.9,0,A,NoPrior,1.0,1.0001375675201416,,,,,,,,,lorenz96,0.9961111111111112,0.992953431372549,0.9655172413787777,0.022222222222222223,0.9333333333328022,,,,,
lorenz96,10.0,2000.0,lorenz,0.3,1,C,FullModel,0.05000000074505806,1.0193507671356201,,,,,,,,,lorenz96,1.0,0.9999999999999999,0.9999999999994666,0.0,0.9999999999994666,,,,,
lorenz96,10.0,2000.0,lorenz,0.3,1,F,HardMask,,27.862149000167847,,,,,,,,,lorenz96,0.4355555555555556,0.4115448357647846,0.49999999999961664,0.6666666666666666,0.39999999999948677,,,,,
lorenz96,10.0,2000.0,lorenz,0.3,1,A,NoPrior,1.0,0.9997212886810303,,,,,,,,,lorenz96,0.9916666666666667,0.9844174192665573,0.9333333333328022,0.044444444444444446,0.9333333333328022,,,,,
lorenz96,10.0,2000.0,lorenz,0.6,1,C,FullModel,0.19810330867767334,1.015531063079834,,,,,,,,,lorenz96,1.0,0.9999999999999999,0.9999999999994666,0.0,0.9999999999994666,,,,,
lorenz96,10.0,2000.0,lorenz,0.6,1,F,HardMask,,27.8738112449646,,,,,,,,,lorenz96,0.8152777777777778,0.7768883346393832,0.7692307692302515,0.13333333333333333,0.7333333333328089,,,,,
lorenz96,10.0,2000.0,lorenz,0.6,1,A,NoPrior,1.0,0.9980523586273193,,,,,,,,,lorenz96,0.9916666666666667,0.9844174192665573,0.9333333333328022,0.044444444444444446,0.9333333333328022,,,,,
lorenz96,10.0,2000.0,lorenz,0.9,1,C,FullModel,0.11152967810630798,1.016948938369751,,,,,,,,,lorenz96,1.0,0.9999999999999999,0.9999999999994666,0.0,0.9999999999994666,,,,,
lorenz96,10.0,2000.0,lorenz,0.9,1,F,HardMask,,27.854395627975464,,,,,,,,,lorenz96,0.9611111111111111,0.9486535303776683,0.9333333333328022,0.044444444444444446,0.9333333333328022,,,,,
